Hit;Tool;ShapesLanguage;Size;ElapsedTime_ms
10;ShExML;SHACL;100000;8643
11;ShExML;SHACL;100000;8921
12;ShExML;SHACL;100000;8634
13;ShExML;SHACL;100000;8008
14;ShExML;SHACL;100000;8278
15;ShExML;SHACL;100000;8552
16;ShExML;SHACL;100000;8287
17;ShExML;SHACL;100000;8793
18;ShExML;SHACL;100000;8558
19;ShExML;SHACL;100000;8439
20;ShExML;SHACL;100000;8422
21;ShExML;SHACL;100000;8941
22;ShExML;SHACL;100000;8949
23;ShExML;SHACL;100000;8219
24;ShExML;SHACL;100000;8744
25;ShExML;SHACL;100000;9004
26;ShExML;SHACL;100000;9170
27;ShExML;SHACL;100000;8610
28;ShExML;SHACL;100000;8240
29;ShExML;SHACL;100000;8809
30;ShExML;SHACL;100000;8618
1;ShExML;ShEx;1000000;68912
2;ShExML;ShEx;1000000;60812
3;ShExML;ShEx;1000000;55230
4;ShExML;ShEx;1000000;62862
5;ShExML;ShEx;1000000;57063
6;ShExML;ShEx;1000000;53687
7;ShExML;ShEx;1000000;59465
8;ShExML;ShEx;1000000;47692
9;ShExML;ShEx;1000000;58938
10;ShExML;ShEx;1000000;51910
11;ShExML;ShEx;1000000;54589
12;ShExML;ShEx;1000000;64679
13;ShExML;ShEx;1000000;123493
14;ShExML;ShEx;1000000;59095
15;ShExML;ShEx;1000000;51721
16;ShExML;ShEx;1000000;59328
17;ShExML;ShEx;1000000;55064
18;ShExML;ShEx;1000000;49167
19;ShExML;ShEx;1000000;52621
20;ShExML;ShEx;1000000;51035
21;ShExML;ShEx;1000000;52400
22;ShExML;ShEx;1000000;59929
23;ShExML;ShEx;1000000;47460
24;ShExML;ShEx;1000000;53864
25;ShExML;ShEx;1000000;49876
26;ShExML;ShEx;1000000;62078
27;ShExML;ShEx;1000000;51016
28;ShExML;ShEx;1000000;63704
29;ShExML;ShEx;1000000;55398
30;ShExML;ShEx;1000000;61709
1;ShExML;SHACL;1000000;54512
2;ShExML;SHACL;1000000;58101
3;ShExML;SHACL;1000000;55448
4;ShExML;SHACL;1000000;53185
5;ShExML;SHACL;1000000;55633
6;ShExML;SHACL;1000000;55530
7;ShExML;SHACL;1000000;63843
8;ShExML;SHACL;1000000;51760
9;ShExML;SHACL;1000000;57047
10;ShExML;SHACL;1000000;60725
11;ShExML;SHACL;1000000;55219
12;ShExML;SHACL;1000000;66091
13;ShExML;SHACL;1000000;62213
14;ShExML;SHACL;1000000;58762
15;ShExML;SHACL;1000000;54297
16;ShExML;SHACL;1000000;58985
17;ShExML;SHACL;1000000;54370
18;ShExML;SHACL;1000000;58384
19;ShExML;SHACL;1000000;52182
20;ShExML;SHACL;1000000;55747
21;ShExML;SHACL;1000000;46501
22;ShExML;SHACL;1000000;50511
23;ShExML;SHACL;1000000;56984
24;ShExML;SHACL;1000000;58669
25;ShExML;SHACL;1000000;51993
26;ShExML;SHACL;1000000;59143
27;ShExML;SHACL;1000000;58411
28;ShExML;SHACL;1000000;49657
29;ShExML;SHACL;1000000;46428
30;ShExML;SHACL;1000000;52105
1;astrea;SHACL;1000;4226
2;astrea;SHACL;1000;1646
3;astrea;SHACL;1000;1559
4;astrea;SHACL;1000;1722
5;astrea;SHACL;1000;1708
6;astrea;SHACL;1000;1695
7;astrea;SHACL;1000;1570
8;astrea;SHACL;1000;1660
9;astrea;SHACL;1000;1620
10;astrea;SHACL;1000;1490
11;astrea;SHACL;1000;1617
12;astrea;SHACL;1000;1496
13;astrea;SHACL;1000;1535
14;astrea;SHACL;1000;1624
15;astrea;SHACL;1000;1721
16;astrea;SHACL;1000;1668
17;astrea;SHACL;1000;1521
18;astrea;SHACL;1000;1522
19;astrea;SHACL;1000;1520
20;astrea;SHACL;1000;1561
21;astrea;SHACL;1000;1528
22;astrea;SHACL;1000;1475
23;astrea;SHACL;1000;1524
24;astrea;SHACL;1000;1540
25;astrea;SHACL;1000;1525
26;astrea;SHACL;1000;1463
27;astrea;SHACL;1000;1545
28;astrea;SHACL;1000;1580
29;astrea;SHACL;1000;1581
30;astrea;SHACL;1000;1547
1;astrea;SHACL;10000;1544
2;astrea;SHACL;10000;1548
3;astrea;SHACL;10000;1530
4;astrea;SHACL;10000;1542
5;astrea;SHACL;10000;1561
6;astrea;SHACL;10000;1469
7;astrea;SHACL;10000;1531
8;astrea;SHACL;10000;1569
9;astrea;SHACL;10000;1568
10;astrea;SHACL;10000;1473
11;astrea;SHACL;10000;1519
12;astrea;SHACL;10000;1524
13;astrea;SHACL;10000;1515
14;astrea;SHACL;10000;1572
15;astrea;SHACL;10000;1481
16;astrea;SHACL;10000;1572
17;astrea;SHACL;10000;1549
18;astrea;SHACL;10000;1512
19;astrea;SHACL;10000;1533
20;astrea;SHACL;10000;1605
21;astrea;SHACL;10000;1541
22;astrea;SHACL;10000;1551
23;astrea;SHACL;10000;1525
24;astrea;SHACL;10000;1535
25;astrea;SHACL;10000;1576
26;astrea;SHACL;10000;1559
27;astrea;SHACL;10000;1581
28;astrea;SHACL;10000;1527
29;astrea;SHACL;10000;1584
30;astrea;SHACL;10000;1589
1;astrea;SHACL;100000;1586
2;astrea;SHACL;100000;1509
3;astrea;SHACL;100000;1447
4;astrea;SHACL;100000;1612
5;astrea;SHACL;100000;1554
6;astrea;SHACL;100000;1608
7;astrea;SHACL;100000;1555
